BaseFreq,RunFreq,AdjFreq,I,P,Var1,Var2,Var3,Var4,Var5
1900,1900,0,121,49,49,21,23,23,0,
1900,1900,0,308,387,419,5,23,23,0,
1900,1900,0,310,397,397,6,23,23,0,
1900,1900,0,217,301,296,7,23,23,0,
1900,1900,0,160,190,194,8,23,23,0,
1900,1900,0,120,70,71,9,23,23,0,
1900,1900,0,124,-9,-7,10,23,23,0,
1900,1900,0,121,17,19,11,23,23,0,
1900,1900,0,121,17,19,11,23,23,0,
1900,1900,0,266,618,220,12,23,23,0,
1900,1900,0,357,416,416,13,23,23,0,
1900,1900,0,337,440,439,14,23,23,0,
1900,1900,0,326,434,432,15,23,23,0,
1900,1900,0,315,413,414,16,23,23,0,
1900,1900,0,294,386,386,17,23,23,0,
1900,1900,0,278,363,361,18,23,23,0,
1900,1900,0,223,296,294,19,23,23,0,
1900,1900,0,154,185,185,20,23,23,0,
1900,1900,0,120,50,49,21,23,23,0,
1900,1900,0,127,-22,-21,22,23,23,0,
1900,1900,0,154,-73,-74,0,23,23,0,
1900,1900,0,170,-111,-112,1,23,23,0,
1900,1900,0,157,-107,-111,2,23,23,0,
1900,1900,0,117,-38,-54,3,23,23,0,
1900,1900,0,286,223,161,4,23,23,0,
1900,1900,0,347,415,387,5,23,23,0,
1900,1900,0,293,397,397,6,23,23,0,
1900,1900,0,220,298,301,7,23,23,0,
1900,1900,0,220,298,301,7,23,23,0,
1900,1900,0,164,195,190,8,23,23,0,
1900,1900,0,120,70,70,9,23,23,0,
1900,1900,0,123,-8,-9,10,23,23,0,
1900,1900,0,121,18,17,11,23,23,0,
1900,1900,0,263,219,218,12,23,23,0,
1900,1900,0,352,413,416,13,23,23,0,
1900,1900,0,336,439,440,14,23,23,0,
1900,1900,0,326,434,434,15,23,23,0,
1900,1900,0,317,414,413,16,23,23,0,
1900,1900,0,294,385,386,17,23,23,0,
1900,1900,0,275,358,363,18,23,23,0,
1900,1900,0,224,294,296,19,23,23,0,
1900,1900,0,156,188,185,20,23,23,0,
1900,1900,0,120,51,50,21,23,23,0,
1900,1900,0,126,-22,-22,22,23,23,0,
1900,1900,0,153,-74,-73,0,23,23,0,
1900,1900,0,171,-112,-111,1,23,23,0,
1900,1900,0,162,-112,-107,2,23,23,0,
1900,1900,0,162,-112,-107,2,23,23,0,
1900,1900,0,124,-60,-38,3,23,23,0,
1900,1900,0,220,140,223,4,23,23,0,
1900,1900,0,309,387,415,5,23,23,0,
1900,1900,0,305,392,397,6,23,23,0,
1900,1900,0,223,305,298,7,23,23,0,
1900,1900,0,158,190,195,8,23,23,0,
1900,1900,0,121,72,70,9,23,23,0,
1900,1900,0,123,-7,-8,10,23,23,0,
1900,1900,0,120,16,18,11,23,23,0,
1900,1900,0,262,217,219,12,23,23,0,
1900,1900,0,355,414,413,13,23,23,0,
1900,1900,0,333,437,439,14,23,23,0,
1900,1900,0,325,433,434,15,23,23,0,
1900,1900,0,317,414,414,16,23,23,0,
1900,1900,0,293,385,385,17,23,23,0,
1900,1900,0,278,360,358,18,23,23,0,
1900,1900,0,224,296,294,19,23,23,0,
1900,1900,0,156,187,188,20,23,23,0,
1900,1900,0,120,52,51,21,23,23,0,
1900,1900,0,120,52,51,21,23,23,0,
1900,1900,0,127,-21,-22,22,23,23,0,
1900,1900,0,155,-74,-74,0,23,23,0,
1900,1900,0,170,-111,-112,1,23,23,0,
1900,1900,0,160,-111,-112,2,23,23,0,
1900,1900,0,122,-57,-60,3,23,23,0,
1900,1900,0,219,141,140,4,23,23,0,
1900,1900,0,312,388,387,5,23,23,0,
1900,1900,0,305,393,392,6,23,23,0,
1900,1900,0,223,305,305,7,23,23,0,
1900,1900,0,159,191,190,8,23,23,0,
1900,1900,0,121,72,72,9,23,23,0,
1900,1900,0,124,-8,-7,10,23,23,0,
1900,1900,0,120,17,16,11,23,23,0,
1900,1900,0,262,214,217,12,23,23,0,
1900,1900,0,353,413,414,13,23,23,0,
1900,1900,0,336,439,437,14,23,23,0,
1900,1900,0,328,435,433,15,23,23,0,
1900,1900,0,316,413,414,16,23,23,0,
1900,1900,0,316,413,414,16,23,23,0,
1900,1900,0,295,386,385,17,23,23,0,
1900,1900,0,276,359,360,18,23,23,0,
1900,1900,0,223,294,296,19,23,23,0,
1900,1900,0,156,188,187,20,23,23,0,
1900,1900,0,120,52,52,21,23,23,0,
1900,1900,0,127,-21,-21,22,23,23,0,
1900,1900,0,153,-73,-74,0,23,23,0,
1900,1900,0,172,-112,-111,1,23,23,0,
1900,1900,0,163,-114,-111,2,23,23,0,
1900,1900,0,131,-72,-57,3,23,23,0,
1900,1900,0,169,80,141,4,23,23,0,
1900,1900,0,370,384,388,5,23,23,0,
1900,1900,0,276,380,393,6,23,23,0,
1900,1900,0,242,312,305,7,23,23,0,
1900,1900,0,158,194,191,8,23,23,0,
1900,1900,0,120,74,72,9,23,23,0,
1900,1900,0,123,-7,-8,10,23,23,0,
1900,1900,0,120,18,17,11,23,23,0,
1900,1900,0,261,216,214,12,23,23,0,
1900,1900,0,261,216,214,12,23,23,0,
1900,1900,0,354,414,413,13,23,23,0,
1900,1900,0,336,441,439,14,23,23,0,
1900,1900,0,327,435,435,15,23,23,0,
1900,1900,0,316,413,413,16,23,23,0,
1900,1900,0,296,388,386,17,23,23,0,
1900,1900,0,277,361,359,18,23,23,0,
1900,1900,0,226,298,294,19,23,23,0,
1900,1900,0,157,190,188,20,23,23,0,
1900,1900,0,120,54,52,21,23,23,0,
